16.06.2024 11:15:22.347 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'dataSource'
16.06.2024 11:15:22.347 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa-org.springframework.boot.autoconfigure.orm.jpa.JpaProperties'
16.06.2024 11:15:22.347 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@12e12ac9'
16.06.2024 11:15:22.347 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
16.06.2024 11:15:22.349 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
16.06.2024 11:15:22.349 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
16.06.2024 11:15:22.354 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
16.06.2024 11:15:22.354 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'jpaVendorAdapter'
16.06.2024 11:15:22.366 [main] DEBUG  org.jboss.logging - Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
16.06.2024 11:15:22.369 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
16.06.2024 11:15:22.372 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'persistenceManagedTypes'
16.06.2024 11:15:22.372 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'persistenceManagedTypes' via factory method to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@12e12ac9'
16.06.2024 11:15:22.373 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'persistenceManagedTypes' via factory method to bean named 'org.springframework.web.context.support.GenericWebApplicationContext@315105f'
16.06.2024 11:15:22.378 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
16.06.2024 11:15:22.378 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'persistenceManagedTypes'
16.06.2024 11:15:22.391 [main] DEBUG  o.s.j.d.DataSourceUtils - Fetching JDBC Connection from DataSource
16.06.2024 11:15:22.391 [main] DEBUG  c.z.h.HikariConfig - HikariPool-1 - configuration:
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - allowPoolSuspension.............false
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - autoCommit......................true
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - catalog.........................none
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - connectionInitSql...............none
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - connectionTestQuery.............none
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - connectionTimeout...............30000
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - dataSource......................none
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - dataSourceClassName.............none
16.06.2024 11:15:22.395 [main] DEBUG  c.z.h.HikariConfig - dataSourceJNDI..................none
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - dataSourceProperties............{password=<masked>}
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - driverClassName................."org.postgresql.Driver"
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - exceptionOverrideClassName......none
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - healthCheckProperties...........{}
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - healthCheckRegistry.............none
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - idleTimeout.....................600000
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - initializationFailTimeout.......1
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - isolateInternalQueries..........false
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - jdbcUrl.........................jdbc:postgresql://localhost:5432/postgres
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - keepaliveTime...................0
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - leakDetectionThreshold..........0
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - maxLifetime.....................1800000
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - maximumPoolSize.................10
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - metricRegistry..................none
16.06.2024 11:15:22.396 [main] DEBUG  c.z.h.HikariConfig - metricsTrackerFactory...........none
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - minimumIdle.....................10
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - password........................<masked>
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - poolName........................"HikariPool-1"
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - readOnly........................false
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - registerMbeans..................false
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - scheduledExecutor...............none
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - schema..........................none
